p4_4,origin_country_code,age,destination_country_code,year,p4_9,p4_9c,year_return,cond_resid,doc_mig,ent,tam_loc,tpo_mig,fac_hog,sex,motive,category,status,socioeconomic_level,origin_country,destination_country
1,13,1,501,21,1,13,2023,2,2.0,13,4,,324,Male,Job search,Economic,Returned,Low,Mexico,Colombia
1,9,1,408,18,1,13,2019,1,,13,4,3.0,321,Male,Job search,Economic,Established,Low,Mexico,Haiti
1,13,1,101,25,1,13,2023,2,9.0,13,4,,262,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,301,19,1,13,2020,2,2.0,13,4,,262,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,21,1,13,2021,2,1.0,13,4,,262,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,18,1,13,2021,2,2.0,13,4,,262,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,18,1,13,2019,2,1.0,13,4,,262,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,19,1,13,2023,2,1.0,13,4,,262,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,201,22,1,13,2021,2,1.0,13,4,,298,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,201,32,1,13,2023,2,2.0,13,4,,298,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,408,17,1,13,2019,2,2.0,13,4,,233,Male,Job search,Economic,Returned,Low,Mexico,Haiti
1,13,2,408,18,1,13,2022,2,2.0,13,4,,233,Female,Job search,Economic,Returned,Low,Mexico,Haiti
1,13,1,418,26,1,13,2020,1,9.0,13,4,26.0,233,Male,Job search,Economic,Established,Low,Mexico,Other Caribbean
1,13,1,101,41,1,13,2019,2,2.0,13,4,,233,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,101,30,1,13,2020,1,1.0,13,4,6.0,327,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,13,1,301,24,1,13,2023,2,1.0,13,4,,327,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,201,43,1,13,2020,2,1.0,13,4,,327,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,9,1,101,26,1,13,2023,2,2.0,13,4,,304,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,301,20,1,13,2021,2,1.0,13,4,,225,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,101,25,1,13,2023,2,1.0,13,4,,225,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,101,28,1,13,2023,2,1.0,13,4,,262,Male,Job search,Economic,Returned,Low,Mexico,Mexico
1,13,1,501,999,1,13,2022,1,1.0,13,4,5.0,251,Male,Job search,Economic,Established,Low,Mexico,Colombia
1,13,1,501,26,1,13,2023,2,1.0,13,4,,251,Male,Job search,Economic,Returned,Low,Mexico,Colombia
1,13,2,301,42,1,13,2022,2,1.0,13,4,,251,Female,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,24,1,13,2020,2,1.0,13,4,,239,Male,Job search,Economic,Returned,Low,Mexico,United States
1,221,1,301,19,1,13,2020,2,1.0,13,4,,239,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,29,1,13,2019,2,1.0,13,4,,239,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,201,54,1,13,2023,2,1.0,13,4,,239,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,101,41,1,13,2019,1,2.0,13,4,24.0,273,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,22,1,201,34,1,13,2021,2,1.0,13,4,,273,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,101,77,1,13,2023,1,1.0,13,4,1.0,273,Male,Job search,Economic,Established,Low,Mexico,Mexico
1,24,2,301,39,1,13,2023,1,1.0,13,4,1.0,273,Female,Job search,Economic,Established,Low,Mexico,United States
1,13,1,201,47,1,13,2021,2,2.0,13,4,,422,Male,Job search,Economic,Returned,Low,Mexico,Guatemala
1,13,1,101,28,1,13,2019,1,2.0,13,4,46.0,422,Male,Job search,Economic,Established,Low,Mexico,Mexico
