"upm","viv_sel","hogar","n_ren","llave_mig","llave_per","llave_hog","llave_viv","ent","tam_loc","p4_4","p4_5","p4_5c","p4_6","p4_7","p4_7c","p4_8","p4_9","p4_9c","p4_10_1","p4_10_2","p4_11","p4_11c","p4_12","p4_12c","p4_13","p4_14","p4_14c","p4_15","p4_15c","p4_16","p4_16c","p4_17","p4_17c","p4_18_1","p4_18_2","p4_19","p4_19c","p4_20_1","p4_20_2","fac_hog","t_loc_ur","t_loc_ag1","p4_8_ag1","p4_8_ag2","doc_mig","cond_resid","tpo_mig","tpo_mig_ag","estrato","est_dis","upm_dis"
"2701446","20","1","01","270144620101","","2701446201","270144620","27","3","1","1","027","2","5","418","031","1","027","03","2021","1","221","1","01","2","1","01","1","221","1","01","","","","","","","","",221,"1","2","7","3","1","2","","","1","523","12750"
"2701447","20","1","01","270144720101","","2701447201","270144720","27","3","1","1","027","1","2","201","032","1","027","10","2018","1","221","1","01","6","1","01","1","221","1","01","","","","","","","","",262,"1","2","7","3","1","2","","","1","523","12751"
"2701451","03","1","01","270145103101","","2701451031","270145103","27","3","1","1","027","1","2","201","041","1","027","02","2020","1","221","7","07","7","1","01","1","221","7","07","","","","","","","","",168,"1","2","9","3","2","2","","","1","523","12753"
"2701451","05","1","01","270145105101","","2701451051","270145105","27","3","1","1","027","1","2","201","025","1","027","07","2021","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",168,"1","2","6","2","2","2","","","1","523","12753"
"2701451","06","1","01","270145106101","","2701451061","270145106","27","3","1","1","027","1","2","201","039","1","027","05","2020","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",168,"1","2","8","3","2","2","","","1","523","12753"
"2701463","19","1","01","270146319101","","2701463191","270146319","27","3","1","1","027","1","5","418","022","1","027","07","2021","1","221","4","04","7","1","01","1","221","4","04","","","","","","","","",227,"1","2","5","2","2","2","","","2","522","12754"
"2701491","05","1","01","270149105101","","2701491051","270149105","27","3","1","1","027","1","2","201","029","1","027","02","2021","1","221","7","99","7","1","01","9","999","","","","","","","","","","",260,"1","2","6","2","2","9","","","2","524","12755"
"2701640","03","1","01","270164003101","270164003101","2701640031","270164003","27","3","1","1","027","2","1","101","027","1","027","09","2018","2","419","","","","2","02","2","260","","","8","419","05","2019","2","02","1","01",199,"1","2","6","2","","1","08","1","2","522","12767"
"2701744","01","1","01","270174401101","270174401101","2701744011","270174401","27","3","1","1","027","1","1","101","029","1","027","12","2018","2","213","","","","1","01","2","260","","","8","213","12","2020","3","03","1","01",233,"1","2","6","2","","1","24","2","1","523","12775"
"2701744","01","1","02","270174401102","270174401102","2701744011","270174401","27","3","1","1","027","2","2","201","024","1","027","12","2018","2","213","","","","1","01","2","260","","","8","213","12","2020","3","03","1","02",233,"1","2","5","2","","1","24","2","1","523","12775"
